number,value,datetime_start,datetime_complete,duration,blocks,kernel_size,learning_rate,modelSeed,optimizer,padding,stride,user_attrs_datatype,user_attrs_transform,state,inner_fold,outer_fold
36,0.168823361,2023-07-01 04:38:38.527323,2023-07-01 04:41:11.159813,0 days 00:02:32.632490,4,5,0.0044,18,RMSprop,2,2,,transform_padding,COMPLETE,2,0
37,0.438776255,2023-07-01 04:41:11.159813,2023-07-01 04:42:21.836983,0 days 00:01:10.677170,4,5,0.0044,12,RMSprop,2,6,,transform_padding,COMPLETE,2,0
38,0.189173341,2023-07-01 04:42:21.837982,2023-07-01 04:45:00.948115,0 days 00:02:39.110133,4,5,0.0016,27,RMSprop,2,2,,transform_padding,COMPLETE,2,0
39,0.212102935,2023-07-01 04:45:00.948115,2023-07-01 04:50:17.177936,0 days 00:05:16.229821,3,5,0.0018,24,RMSprop,2,2,,transform_padding,COMPLETE,2,0
40,0.287913442,2023-07-01 04:50:17.177936,2023-07-01 04:51:38.420337,0 days 00:01:21.242401,4,5,0.0011,29,RMSprop,2,4,,transform_padding,COMPLETE,2,0
41,0.196429849,2023-07-01 04:51:38.420337,2023-07-01 04:54:37.733399,0 days 00:02:59.313062,4,5,0.0045,3,RMSprop,2,2,,transform_padding,COMPLETE,2,0
0,0.55476737,2023-07-01 04:54:38.471696,2023-07-01 04:56:55.761690,0 days 00:02:17.289994,5,7,0.0635,38,Adam,4,2,,transform_padding,COMPLETE,3,0
1,10000,2023-07-01 04:56:55.761690,2023-07-01 04:56:55.765694,0 days 00:00:00.004004,5,7,0.0005,53,RMSprop,2,6,,transform_padding,COMPLETE,3,0
2,0.145587087,2023-07-01 04:56:55.765694,2023-07-01 04:59:05.740089,0 days 00:02:09.974395,5,7,0.0171,97,SGD,4,2,,transform_padding,COMPLETE,3,0
3,0.151909336,2023-07-01 04:59:05.740089,2023-07-01 05:02:15.866759,0 days 00:03:10.126670,4,7,0.0573,78,SGD,4,2,,transform_padding,COMPLETE,3,0
4,0.380174518,2023-07-01 05:02:15.866759,2023-07-01 05:03:35.954102,0 days 00:01:20.087343,3,3,0.0886,8,Adam,2,4,,transform_padding,COMPLETE,3,0
5,0.475751728,2023-07-01 05:03:35.954102,2023-07-01 05:05:50.274200,0 days 00:02:14.320098,5,7,0.0083,33,RMSprop,4,2,,transform_padding,COMPLETE,3,0
6,0.253069878,2023-07-01 05:05:50.275200,2023-07-01 05:07:07.410814,0 days 00:01:17.135614,3,7,0.0011,32,Adam,6,6,,transform_padding,COMPLETE,3,0
7,0.160749495,2023-07-01 05:07:07.410814,2023-07-01 05:08:55.781954,0 days 00:01:48.371140,5,5,0.017,54,Adam,2,2,,transform_padding,COMPLETE,3,0
8,0.216900513,2023-07-01 05:08:55.781954,2023-07-01 05:11:52.611547,0 days 00:02:56.829593,4,3,0.0065,52,RMSprop,6,2,,transform_padding,COMPLETE,3,0
9,0.256459475,2023-07-01 05:11:52.611547,2023-07-01 05:13:07.852654,0 days 00:01:15.241107,4,7,0.0876,49,SGD,4,4,,transform_padding,COMPLETE,3,0
10,0.465573013,2023-07-01 05:13:07.852654,2023-07-01 05:14:21.023245,0 days 00:01:13.170591,5,5,0,98,SGD,4,4,,transform_padding,COMPLETE,3,0
11,0.151401699,2023-07-01 05:14:21.023245,2023-07-01 05:17:29.327401,0 days 00:03:08.304156,4,7,0.0137,96,SGD,4,2,,transform_padding,COMPLETE,3,0
12,0.170354605,2023-07-01 05:17:29.328404,2023-07-01 05:20:39.161629,0 days 00:03:09.833225,4,7,0.003,100,SGD,4,2,,transform_padding,COMPLETE,3,0
13,0.171055317,2023-07-01 05:20:39.161629,2023-07-01 05:23:49.329722,0 days 00:03:10.168093,4,7,0.0177,80,SGD,4,2,,transform_padding,COMPLETE,3,0
14,0.21893172,2023-07-01 05:23:49.329722,2023-07-01 05:27:53.523239,0 days 00:04:04.193517,3,3,0.0023,80,SGD,4,2,,transform_padding,COMPLETE,3,0
15,0.426832736,2023-07-01 05:27:53.523239,2023-07-01 05:29:06.331438,0 days 00:01:12.808199,5,5,0.0287,87,SGD,6,6,,transform_padding,COMPLETE,3,0
16,0.169817924,2023-07-01 05:29:06.331438,2023-07-01 05:32:15.035010,0 days 00:03:08.703572,4,7,0.0078,67,SGD,4,2,,transform_padding,COMPLETE,3,0
17,0.152546763,2023-07-01 05:32:15.035010,2023-07-01 05:35:25.405788,0 days 00:03:10.370778,4,7,0.0295,90,SGD,4,2,,transform_padding,COMPLETE,3,0
18,0.554875016,2023-07-01 05:35:25.405788,2023-07-01 05:36:36.455247,0 days 00:01:11.049459,5,3,0.0005,68,SGD,2,6,,transform_padding,COMPLETE,3,0
19,0.231660008,2023-07-01 05:36:36.455247,2023-07-01 05:38:05.703969,0 days 00:01:29.248722,3,5,0.0133,10,RMSprop,6,4,,transform_padding,COMPLETE,3,0
20,0.219507799,2023-07-01 05:38:05.704970,2023-07-01 05:40:15.768247,0 days 00:02:10.063277,5,7,0.0041,91,SGD,4,2,,transform_padding,COMPLETE,3,0
21,0.149548233,2023-07-01 05:40:15.769247,2023-07-01 05:43:25.391878,0 days 00:03:09.622631,4,7,0.0377,75,SGD,4,2,,transform_padding,COMPLETE,3,0
22,0.153236076,2023-07-01 05:43:25.391878,2023-07-01 05:46:24.241220,0 days 00:02:58.849342,4,7,0.0339,68,SGD,4,2,,transform_padding,COMPLETE,3,0
23,0.15146862,2023-07-01 05:46:24.241220,2023-07-01 05:49:16.202696,0 days 00:02:51.961476,4,7,0.0427,100,SGD,4,2,,transform_padding,COMPLETE,3,0
24,0.154083192,2023-07-01 05:49:16.202696,2023-07-01 05:52:07.656665,0 days 00:02:51.453969,4,7,0.0182,85,SGD,4,2,,transform_padding,COMPLETE,3,0
